,Value
2018-04-12,4.75
2018-04-13,4.75
2018-04-16,4.75
2018-04-17,4.75
2018-04-18,4.75
2018-04-19,4.75
2018-04-20,4.75
2018-04-23,4.75
2018-04-24,4.75
2018-04-25,4.75
2018-04-26,4.75
2018-04-27,4.75
2018-04-30,4.75
2018-05-01,4.75
2018-05-02,4.75
2018-05-03,4.75
2018-05-04,4.75
2018-05-07,4.75
2018-05-08,4.75
2018-05-09,4.75
2018-05-10,4.75
2018-05-11,4.75
2018-05-14,4.75
2018-05-15,4.75
2018-05-16,4.75
2018-05-17,4.75
2018-05-18,4.75
2018-05-21,4.75
2018-05-22,4.75
2018-05-23,4.75
2018-05-24,4.75
2018-05-25,4.75
2018-05-28,
2018-05-29,4.75
2018-05-30,4.75
2018-05-31,4.75
2018-06-01,4.75
2018-06-04,4.75
2018-06-05,4.75
2018-06-06,4.75
2018-06-07,4.75
2018-06-08,4.75
2018-06-11,4.75
2018-06-12,4.75
2018-06-13,4.75
2018-06-14,5.0
2018-06-15,5.0
2018-06-18,5.0
2018-06-19,5.0
2018-06-20,5.0
2018-06-21,5.0
2018-06-22,5.0
2018-06-25,5.0
2018-06-26,5.0
2018-06-27,5.0
2018-06-28,5.0
2018-06-29,5.0
2018-07-02,5.0
2018-07-03,5.0
2018-07-04,
2018-07-05,5.0
2018-07-06,5.0
2018-07-09,5.0
2018-07-10,5.0
2018-07-11,5.0
2018-07-12,5.0
2018-07-13,5.0
2018-07-16,5.0
2018-07-17,5.0
2018-07-18,5.0
2018-07-19,5.0
2018-07-20,5.0
2018-07-23,5.0
2018-07-24,5.0
2018-07-25,5.0
2018-07-26,5.0
2018-07-27,5.0
2018-07-30,5.0
2018-07-31,5.0
2018-08-01,5.0
2018-08-02,5.0
2018-08-03,5.0
2018-08-06,5.0
2018-08-07,5.0
2018-08-08,5.0
2018-08-09,5.0
2018-08-10,5.0
2018-08-13,5.0
2018-08-14,5.0
2018-08-15,5.0
2018-08-16,5.0
2018-08-17,5.0
2018-08-20,5.0
2018-08-21,5.0
2018-08-22,5.0
2018-08-23,5.0
2018-08-24,5.0
2018-08-27,5.0
2018-08-28,5.0
2018-08-29,5.0
2018-08-30,5.0
2018-08-31,5.0
2018-09-03,
2018-09-04,5.0
2018-09-05,5.0
2018-09-06,5.0
2018-09-07,5.0
2018-09-10,5.0
2018-09-11,5.0
2018-09-12,5.0
2018-09-13,5.0
2018-09-14,5.0
2018-09-17,5.0
2018-09-18,5.0
2018-09-19,5.0
2018-09-20,5.0
2018-09-21,5.0
2018-09-24,5.0
2018-09-25,5.0
2018-09-26,5.0
2018-09-27,5.25
2018-09-28,5.25
2018-10-01,5.25
2018-10-02,5.25
2018-10-03,5.25
2018-10-04,5.25
2018-10-05,5.25
2018-10-08,
2018-10-09,5.25
2018-10-10,5.25
2018-10-11,5.25
2018-10-12,5.25
2018-10-15,5.25
2018-10-16,5.25
2018-10-17,5.25
2018-10-18,5.25
2018-10-19,5.25
2018-10-22,5.25
2018-10-23,5.25
2018-10-24,5.25
2018-10-25,5.25
2018-10-26,5.25
2018-10-29,5.25
2018-10-30,5.25
2018-10-31,5.25
2018-11-01,5.25
2018-11-02,5.25
2018-11-05,5.25
2018-11-06,5.25
2018-11-07,5.25
2018-11-08,5.25
2018-11-09,5.25
2018-11-12,
2018-11-13,5.25
2018-11-14,5.25
2018-11-15,5.25
2018-11-16,5.25
2018-11-19,5.25
2018-11-20,5.25
2018-11-21,5.25
2018-11-22,
2018-11-23,5.25
2018-11-26,5.25
2018-11-27,5.25
2018-11-28,5.25
2018-11-29,5.25
2018-11-30,5.25
2018-12-03,5.25
2018-12-04,5.25
2018-12-05,5.25
2018-12-06,5.25
2018-12-07,5.25
2018-12-10,5.25
2018-12-11,5.25
2018-12-12,5.25
2018-12-13,5.25
2018-12-14,5.25
2018-12-17,5.25
2018-12-18,5.25
